2017-06-14 11:46:22.882 WARN  NServiceBus.QueuePermissions Queue [private$\WebApplication.Retries] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-14 11:46:22.913 WARN  NServiceBus.QueuePermissions Queue [private$\WebApplication] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-14 11:46:22.935 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-06-14 11:46:23.014 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-06-14 11:46:23.033 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-06-14 11:46:42.592 INFO  WebApplication.Handlers.ShippingProcessedHandler Received ShippingProcessedEvent, OrderId = ee50c0a4-301a-4503-843a-c12310cb2ff4 - Notifying the UI
2017-06-14 11:47:57.562 INFO  DefaultFactory Logging to 'C:\Users\ArminA\Source\GitHub\microservices-nservicebus-retail-demo\WebApplication\App_Data\' with level Info
2017-06-14 11:47:57.751 INFO  NServiceBus.LicenseManager No valid license could be found, falling back to trial license with start date '08/06/2017'

2017-06-14 11:47:57.853 INFO  NServiceBus.PerformanceMonitorUsersInstaller Skipped adding user 'CUBICTELECOM\ArminA' to group 'Performance Monitor Users' because the user is already in group.
2017-06-14 11:47:57.974 WARN  NServiceBus.QueuePermissions Queue [private$\error] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-14 11:47:57.993 WARN  NServiceBus.QueuePermissions Queue [private$\WebApplication.Timeouts] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-14 11:47:58.007 WARN  NServiceBus.QueuePermissions Queue [private$\WebApplication.TimeoutsDispatcher] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-14 11:47:58.019 WARN  NServiceBus.QueuePermissions Queue [private$\WebApplication.Retries] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-14 11:47:58.030 WARN  NServiceBus.QueuePermissions Queue [private$\WebApplication] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-14 11:47:58.044 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-06-14 11:47:58.048 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-06-14 11:47:58.052 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-06-14 11:48:14.880 INFO  WebApplication.Handlers.ShippingProcessedHandler Received ShippingProcessedEvent, OrderId = a52d1cb0-4323-495e-a1a4-e58506d95065 - Notifying the UI
2017-06-14 12:35:56.626 INFO  DefaultFactory Logging to 'C:\Users\ArminA\Source\GitHub\microservices-nservicebus-retail-demo\WebApplication\App_Data\' with level Info
2017-06-14 12:35:56.934 INFO  NServiceBus.LicenseManager No valid license could be found, falling back to trial license with start date '08/06/2017'

2017-06-14 12:35:57.054 INFO  NServiceBus.PerformanceMonitorUsersInstaller Skipped adding user 'CUBICTELECOM\ArminA' to group 'Performance Monitor Users' because the user is already in group.
2017-06-14 12:35:57.192 WARN  NServiceBus.QueuePermissions Queue [private$\error] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-14 12:35:57.207 WARN  NServiceBus.QueuePermissions Queue [private$\WebApplication.Timeouts] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-14 12:35:57.249 WARN  NServiceBus.QueuePermissions Queue [private$\WebApplication.TimeoutsDispatcher] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-14 12:35:57.266 WARN  NServiceBus.QueuePermissions Queue [private$\WebApplication.Retries] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-14 12:35:57.287 WARN  NServiceBus.QueuePermissions Queue [private$\WebApplication] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-14 12:35:57.309 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-06-14 12:35:57.322 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-06-14 12:35:57.326 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-06-14 12:36:28.751 INFO  WebApplication.Handlers.ShippingProcessedHandler Received ShippingProcessedEvent, OrderId = 7b150513-2e4e-4a3b-b174-480314f7b808 - Notifying the UI
2017-06-14 12:40:30.894 INFO  DefaultFactory Logging to 'C:\Users\ArminA\Source\GitHub\microservices-nservicebus-retail-demo\WebApplication\App_Data\' with level Info
2017-06-14 12:40:31.125 INFO  NServiceBus.LicenseManager No valid license could be found, falling back to trial license with start date '08/06/2017'

